	PK:clearance	PK:half-life	PK:protein-binding
(4R)-limonene 1α,2α-epoxide			
2-Methoxyestradiol			2ME2 was found to bind in decreasing order to plasma>albumin>alpha1-acid glycoprotein>sex-hormone-binding globulin. Plasma concentration-time profiles of total 2ME2 and unbound 2ME2 concentrations in a patient with cancer receiving 2ME2 as a single oral dose were parallel to each other. Thus, indicating that plasma protein binding is not an important consideration in pharmacokinetic monitoring of 2ME2.
2-chloroethyl-3-sarcosinamide-1-nitrosourea			
6-O-benzylguanine			
7-Hydroxystaurosporine			
ABT-510			
ABT-751			
ABT-869			
ADH-1			ADH-1 binds to and inhibits N-cadherin.
AI-850			
AN-9			
AS1409			
ASP-3026			
AT7519			
AT9283			
ATN-161			
ATP			
AUY922			
AZD-4877			
AZD-8055			
AZD3409		15–20 hours for the thiol-ester intermediate and 15–30 hours for the active thiol-acid metabolite.&#13;	
Abemaciclib	The geometric mean hepatic clearance (CL) of abemaciclib in patients was 26.0 L/h (51% CV) [FDA Label].	The mean plasma elimination half-life for abemaciclib in patients was 18.3 hours (72% CV) [FDA Label].	According to in vitro models using animal brain tissues, the protein binding of abemaciclib is approximately 95-98% [A27284]. While abemaciclib demonstrated *in vitro* binding to serum albumin, alpha-1-acid glycoprotein and other human plasma proteins in a concentration-depedent manner, its major metabolites are also shown to bind to plasms proteins as well. The approximate bound fractions of M2, M18 and M20 are 93.4%, 96.8% and 97.8%, respectively [FDA Label]. 
Abiraterone		Terminal elimination half-life = 5-14 hours 	>99% protein bound to alpha-1-acid glycoprotein and albumin. 
Abituzumab			
Acalabrutinib	Acalabrutinib's mean apparent oral clearance (CL/F) is observed to be 159 L/hr with similar PK between patients and healthy subjects, based on population PK analysis [FDA Label].	After administering a single oral dose of 100 mg acalabrutinib, the median terminal elimination half-life of the drug was found to be 0.9 (with a range of 0.6 to 2.8) hours [FDA Label].&#13;&#13;The half-life of the active metabolite, ACP-5862, is about 6.9 hours [FDA Label].	Reversible binding of acalabrutinib to human plasma protein is approximately 97.5%. The in vitro mean blood-to-plasma ratio is about 0.7 [FDA Label].
Acridine Carboxamide			
Adecatumumab			
Afatinib		Cancer patients, repeat dosing = 37 hours 	95% bound to human plasma protein. 
Aflibercept	When cancer patients were given 2-9 mg/kg every 2 or 3 week; 1 hour IV infusion of aflibercept the typical estimated clearances were as follows:&#13;CL of free aflibercept (CLf) = 0.88 L/day;&#13;CL of bound aflibercept (CLf) = 0.19 L/day; &#13;Patients clear free aflibercept faster if they had low albumin or high alkaline phosphatase levels. 	Intravitreal half-life= 7.13 days in humans; &#13;Terminal elimination half-life of free aflibercept in plasma was 5 to 6 days after IV injection of 2 - 4 mg/kg dose. 	
Albendazole		Terminal elimination half-life ranges from 8 to 12 hours (single dose, 400mg).	70% bound to plasma protein
Aldesleukin		13 min-85 min	
Aldoxorubicin			
Alectinib	The apparent clearance is 81.9L/hr for alectinib and 217 L/hr for M4. 	The mean elimination half life is 33 hr for alectinib and 31 hr for M4. 	Alectinib and its major metabolite M4 are >99% bound to human plasma proteins. 
Alemtuzumab		~288 hrs	
Alisertib			
Alitretinoin			
Alvespimycin	The mean clearance is 18.9 L/hr at the dose of 80mg/m^2.	The half-life across all dose levels ranged from 9.9 to 54.1 h (median, 18.2 h) [A19251]. 	Reported to be minimal.
Alvocidib			
Amifostine		8 minutes	
Amonafide			
Amrubicin	The plasma pharmacokinetics of amrubicin in cancer patients are characterized by low total clearance (22% of total liver blood flow) [L1710].	20-30 h [A32143]&#13;&#13;In a study of dogs, Amrubicin plasma concentrations followed a biphasic pattern with peak concentrations observed immediately after dosing followed by α and β half-lives (t1/2) ± SD of 0.06 ± 0.01 and 2.0 ± 0.3 hours, respectively [L1710].	A study was performed on the plasma protein binding of amrubicin in both patients with hepatic impairment and those with normal liver function. In those with liver impairment, the plasma protein binding was found to be 91.3–97.1% and in those with normal hepatic function, 82.0–85.3% [L1713].
Anhydrovinblastine			
Annamycin			
Apaziquone			
Apitolisib			
Arsenic trioxide			75% bound
Arzoxifene			
Asparaginase Escherichia coli		Plasma half life of L-asparagine derived from _E. coli_ following intravenous injection was 8-30 hrs [FDA Label]. Plasma half-life was 34 to 49 hours after intramuscular injection [FDA Label]. Half-life (mean ± SD) of native _E. coli_ asparaginase is approximately 1.28 ± 0.35 days [A31999].	
Atacicept			
Atezolizumab	0.20 L/day	27 days	
Atrasentan			
Avelumab	The total systemic clearance is approximately 0.59 L/day.	The terminal half-life is approximately 6.1 days in patients receiving 10 mg/kg.	None reported.
Aviscumine			
Axitinib	The average clearance of axitinib is 38 L/h.	Axitinib has a half life of 2.5 to 6.1 hours.	Plasma protein binding for axitinib is high at over 99% with most protein binding to albumin followed by α1-acid glycoprotein.
Azacitidine	* 167 +/- 49 L/h	Mean elimination half-life is approximately 4 hours.	
BMS-184476			
BMS-275183			
BMS-599626			
BMS-690514			
BMS-908662			
BZL101			
Bacitracin			
Banoxantrone		0.64 to 0.83 hours	
Barasertib			
Bardoxolone methyl			
Batimastat			
Becatecarin			
Belinostat	1240 mL/min	Displays a three-compartment pharmacokinetic property with elimination half life of 1.1 hours	92.9% and 95.8% of belinostat is bound to protein.
Beloranib			
Belotecan			
Bendamustine	700 mL/min	40 minutes	In vitro, the binding of bendamustine to human serum plasma proteins ranged from 94-96% and data suggest that bendamustine is not likely to displace or to be displaced by highly protein-bound drugs.
Bevacizumab	* 0.26 L/day [Male patients who received 1 to 20 mg/kg of Avastin weekly, every 2 weeks, or every 3 weeks]&#13;* 0.21 L/day [Female patients who received 1 to 20 mg/kg of Avastin weekly, every 2 weeks, or every 3 weeks]&#13;* 0.25 L/day [Patients with higher tumor burden who received 1 to 20 mg/kg of Avastin weekly, every 2 weeks, or every 3 weeks]&#13;* 0.2 L/day [patients with tumor burdens below the median who received 1 to 20 mg/kg of Avastin weekly, every 2 weeks, or every 3 weeks]&#13;&#13;Clearance varies by body weight, gender, and tumor burden. Increased clearance observed in men and in patients with higher tumor burden; however, no evidence of reduced efficacy.	approximately 20 days (range: 11–50 days)	
Bexarotene		7 hours	>99%
Binetrakin			
Binimetinib			
Bizelesin			
Bleomycin		115 minutes	1%
Bleomycin A6			
Blinatumomab	2.92 L/hour, standard deviation 2.83. 	2.11 hours, standard deviation 1.42. 	
Bortezomib	* 102 L/h [patients with multiple myeloma following the first dose for doses of 1 mg/m2]&#13;* 112 L/h [patients with multiple myeloma following the first dose for doses of 1.3 mg/m2]&#13;* 15 - 32 L/h [patients with multiple myeloma following subsequent doses for doses of 1 and 1.3 mg/m2]	The mean elimination half-life of bortezomib after first dose ranged from 9 to 15 hours at doses ranging from 1.45 to 2.00 mg/m2 in patients with advanced malignancies.	83% over the concentration range of 100-1000 ng/ml.
Bosutinib	Mean clearance (CL/F), single oral dose, fed-state = 189 L/h 	Terminal phase elimination half-life, single oral dose, fed-state = 22.5 hours 	94% bound to human plasma proteins in vitro. 96% bound to human plasma proteins in healthy subjects ex vivo. Extent of protein binding is not concentration-dependent. 
Brentuximab vedotin	The liver is the primary route of clearance for MMAE.  The pharmacokinetics and safety of Brentuximab vedotin and MMAE were examined after the administration of 1.2 mg/kg of Adcetris to patients with mild, moderate, and severe hepatic impairment. In patients with moderate and severe hepatic impairment, the rate of ≥Grade 3 adverse reactions was 6/6 (100%) compared to 3/8 (38%) in patients with normal hepatic function [FDA label].  It is recommended to avoid use in patients with severe renal impairment (CrCl <30mL/min) [L1742].	The terminal half-life is approximately 4-6 days [FDA label].	In vitro, the binding of MMAE to human plasma proteins is in the range of 68–82% [FDA label].
Brivanib alaninate			
Brostallicin			
Broxuridine			
Bryostatin 1			
Buparlisib			
Busulfan	* 2.52 ml/min/kg [Following an infusion of dose of 0.8 mg/kg every six hours, for a total of 16 doses over four days]	2.6 hours	32% bound to plasma proteins and 47% bound to red blood cells. 
Buthionine Sulfoximine			
CH-5132799			
CHS-828			
CP-609754			
CP-724714			
CPI-613			
CT-011			
CT-2584			
CUDC-101			
CYT997			
Cabazitaxel	Cabazitaxel has a plasma clearance of 48.5 L/h (CV 39%; 26.4 L/h/m2 for a patient with a median BSA of 1.84 m2) in patients with metastatic prostate cancer.	Following a one-hour intravenous infusion, plasma concentrations of cabazitaxel can be described by a three-compartment pharmacokinetic model with α-, β-, and γ- half-lives of 4 minutes, 2 hours, and 95 hours, respectively.	Cabazitaxel is mainly bound to human serum albumin (82%) and lipoproteins (88% for HDL, 70% for LDL, and 56% for VLDL).
Cabozantinib	At steady state, the clearance is 4.4 L/hr.	Cabozantinib has a long half-life of 55 hours.	Cabozantinib has extensive plasma protein binding (≥ 99.7%).
Canertinib			
Canfosfamide		18 min	
Cantuzumab ravtansine			
Capecitabine		45-60 minutes for capecitabine and its metabolites.	< 60% (mainly albumin)
Carboplatin	 * 4.4 L/hour [total body clearance, 30 minute IV infusion of 300 mg/m^2 to 500 mg/m^2] 	Initial plasma half-life (alpha) = 1.1 to 2 hours;&#13;Post distribution plasma half-life (beta) = 2.6 - 5.9 hours. 	Carboplatin is not bound to plasma protein. However, the platinum itself from carboplatin irreversibly binds to plasma proteins and is slowly eliminated with a minimum half-life of 5 days. 
Carboxyamidotriazole			
Carfilzomib	Systemic clearance = 151 - 263 L/hour. As this value exceeds hepatic blood flow, it suggests that carfilozmib is cleared extrahepatically. 	Following intravenous administration of doses ≥ 15 mg/m^2, carfilzomib was rapidly cleared from the systemic circulation with a half-life of ≤ 1 hour on Day 1 of Cycle 1.	Over the concentration range of 0.4 - 4 micromolar, carfilzomib was 97% protein bound. 
Carlumab			
Carmustine		15-30 minutes	80%
Catumaxomab		Catumaxomab has an apparent half life of elimination of 2.5 days [FDA Label].	
Cediranib		12 to 35 hours	
Celecoxib	Apparent clearance (CL/F), single oral 200 mg dose, healthy subjects = 27.7 L/hr. 	The effective half-life is approximately 11 hours when a single 200 mg dose is given to healthy subjects. Terminal half-life is generally variable because of the low solubility of the drug thus prolonging absorption. 	97%, primarily to albumin and, to a lesser extent, a<sub>1</sub>-acid glycoprotein. Celecoxib is not preferentially bound to red blood cells. 
Ceritinib	The geometric mean apparent clearance (CL/F) of ceritinib was lower at steady-state (33.2 L/h) after 750 mg daily dosing than after a single 750 mg dose (88.5 L/h).	The terminal half life is 41 hours.	Ceritinib is 97% bound to human plasma proteins, independent of drug concentration.
