	enzymes:1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial	enzymes:5'-nucleotidase	enzymes:6-phosphogluconate dehydrogenase, decarboxylating	enzymes:Adenosine deaminase	enzymes:Adenosine kinase	enzymes:Alcohol dehydrogenase [NADP(+)]	enzymes:Aldehyde oxidase	enzymes:Aldo-keto reductase family 1 member C3	enzymes:Alkaline phosphatase, tissue-nonspecific isozyme	enzymes:Amidophosphoribosyltransferase	enzymes:Amine oxidase [flavin-containing] A	enzymes:Arylamine N-acetyltransferase	enzymes:Arylsulfatase A	enzymes:Beta-glucuronidase	enzymes:Bifunctional purine biosynthesis protein PURH	enzymes:Bile salt sulfotransferase	enzymes:Bleomycin hydrolase	enzymes:CYP3A	enzymes:Carbonyl reductase [NADPH] 1	enzymes:Carbonyl reductase [NADPH] 3	enzymes:Carboxylesterase	enzymes:Catechol O-methyltransferase	enzymes:Cholesterol side-chain cleavage enzyme, mitochondrial	enzymes:Cholinesterase	enzymes:Cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial	enzymes:Cocaine esterase	enzymes:Cytidine deaminase	enzymes:Cytochrome P450 19A1	enzymes:Cytochrome P450 1A1	enzymes:Cytochrome P450 1A2	enzymes:Cytochrome P450 1B1	enzymes:Cytochrome P450 2A13	enzymes:Cytochrome P450 2A6	enzymes:Cytochrome P450 2B6	enzymes:Cytochrome P450 2C18	enzymes:Cytochrome P450 2C19	enzymes:Cytochrome P450 2C8	enzymes:Cytochrome P450 2C9	enzymes:Cytochrome P450 2D6	enzymes:Cytochrome P450 2E1	enzymes:Cytochrome P450 3A4	enzymes:Cytochrome P450 3A43	enzymes:Cytochrome P450 3A5	enzymes:Cytochrome P450 3A7	enzymes:Cytochrome P450 4A11	enzymes:Cytochrome p450 3A subfamily	enzymes:Cytosolic phospholipase A2	enzymes:Deoxycytidine kinase	enzymes:Deoxycytidylate deaminase	enzymes:Deoxyguanosine kinase, mitochondrial	enzymes:Dihydrofolate reductase	enzymes:Dihydropyrimidine dehydrogenase [NADP(+)]	enzymes:Dimethylaniline monooxygenase [N-oxide-forming] 1	enzymes:Dimethylaniline monooxygenase [N-oxide-forming] 3	enzymes:Dopamine beta-hydroxylase	enzymes:Equilibrative nucleoside transporter 1	enzymes:Folylpolyglutamate synthase, mitochondrial	enzymes:Gamma-glutamyl hydrolase	enzymes:Glutathione S-transferase A1	enzymes:Glutathione S-transferase A2	enzymes:Glutathione S-transferase Mu 1	enzymes:Glutathione S-transferase P	enzymes:Glutathione S-transferase theta-1	enzymes:Glutathione peroxidase 1	enzymes:Hypoxanthine-guanine phosphoribosyltransferase	enzymes:Liver carboxylesterase 1	enzymes:Metallothionein-1A	enzymes:Metallothionein-2	enzymes:Methylenetetrahydrofolate reductase	enzymes:Microsomal glutathione S-transferase 2	enzymes:Multidrug resistance protein 1	enzymes:Myeloperoxidase	enzymes:NAD(P)H dehydrogenase [quinone] 1	enzymes:NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial	enzymes:NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	enzymes:NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial	enzymes:NADPH--cytochrome P450 reductase	enzymes:Nitric oxide synthase, brain	enzymes:Nitric oxide synthase, endothelial	enzymes:Nitric oxide synthase, inducible	enzymes:Phospholipase D1	enzymes:Prostaglandin G/H synthase 1	enzymes:Prostaglandin G/H synthase 2	enzymes:Serum paraoxonase/lactonase 3	enzymes:Sulfotransferase 1A1	enzymes:Sulfotransferase 2A1	enzymes:Superoxide dismutase [Cu-Zn]	enzymes:Thioredoxin reductase 1, cytoplasmic	enzymes:Thymidine phosphorylase	enzymes:Thymidylate synthase	enzymes:UDP-glucuronosyltransferase 1-1	enzymes:UDP-glucuronosyltransferase 1-10	enzymes:UDP-glucuronosyltransferase 1-3	enzymes:UDP-glucuronosyltransferase 1-4	enzymes:UDP-glucuronosyltransferase 1-6	enzymes:UDP-glucuronosyltransferase 1-8	enzymes:UDP-glucuronosyltransferase 1-9	enzymes:UDP-glucuronosyltransferase 1A1	enzymes:UDP-glucuronosyltransferase 1A4	enzymes:UDP-glucuronosyltransferase 2B15	enzymes:UDP-glucuronosyltransferase 2B7	enzymes:Uridine 5'-monophosphate synthase	enzymes:Uridine phosphorylase 1	enzymes:Uridine phosphorylase 2	enzymes:Vitamin K epoxide reductase complex subunit 1	enzymes:Xanthine dehydrogenase/oxidase
(4R)-limonene 1α,2α-epoxide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-Methoxyestradiol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-chloroethyl-3-sarcosinamide-1-nitrosourea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6-O-benzylguanine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7-Hydroxystaurosporine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABT-510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABT-751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABT-869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADH-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AI-850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AS1409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASP-3026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT7519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT9283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATN-161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUY922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AZD-4877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AZD-8055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AZD3409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abemaciclib	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abiraterone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abituzumab	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acalabrutinib	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
