	experimental-properties:Boiling Point	experimental-properties:Hydrophobicity	experimental-properties:Isoelectric Point	experimental-properties:Melting Point	experimental-properties:Molecular Formula	experimental-properties:Molecular Weight	experimental-properties:Water Solubility	experimental-properties:caco2 Permeability	experimental-properties:logP	experimental-properties:logS	experimental-properties:pKa
(4R)-limonene 1α,2α-epoxide											
2-Methoxyestradiol											
2-chloroethyl-3-sarcosinamide-1-nitrosourea											
6-O-benzylguanine											
7-Hydroxystaurosporine											
ABT-510											
ABT-751											
ABT-869											
ADH-1											
AI-850											
AN-9											
AS1409											
ASP-3026											
AT7519											
AT9283											
ATN-161											
ATP				176 °C			1E+006 mg/L		-5.5		
AUY922											
AZD-4877											
AZD-8055											
AZD3409											
Abemaciclib											
Abiraterone											
Abituzumab											
Acalabrutinib							Freely soluble in water at pH values below 3 but is practically insoluble in water at pH values above 6				
Acridine Carboxamide											
Adecatumumab											
Afatinib											
Aflibercept					C4318H6788N1164O1304S32	115000.0	>100 mg/mL				
Albendazole				208-210			Practically insoluble		2.7		
Aldesleukin		-0.192	7.31		C690H1115N177O202S6	15314.8					
Aldoxorubicin											
Alectinib											7.05
Alemtuzumab		-0.431	8.76	61 °C (FAB fragment), 71 °C (whole mAb)	C6468H10066N1732O2005S40	145453.8					
Alisertib											
Alitretinoin				189-190 °C			0.6 mg/L		4.2		
Alvespimycin							Soluble				
Alvocidib											
Amifostine							1000 mg/mL		-1.9		
Amonafide											
Amrubicin	717.8			172-174 			not soluble in water, but soluble in DMSO		2.64		
Anhydrovinblastine											
Annamycin											
Apaziquone											
Apitolisib											
Arsenic trioxide							1.7E+004 mg/L (at 16 °C)				
Arzoxifene											
Asparaginase Escherichia coli		0.059	4.67		C1377H2208N382O442S17	31731.9					
Atacicept											
Atezolizumab						145000.0					
Atrasentan											
Avelumab					C6374H9898N1694O2010S44	142.0					
Aviscumine											
Axitinib							In aqueous media with a pH between 1.1 to 7.8, axitinib has a solubility of over 0.2 μg/mL. 				4.8
Azacitidine				229 °C			8.9E+004 mg/L		-3.5		
BMS-184476											
BMS-275183											
BMS-599626											
BMS-690514											
BMS-908662											
BZL101											
Bacitracin				221-225 °C			Freely soluble		-0.8		
Banoxantrone											
Barasertib											
Bardoxolone methyl											
Batimastat											
Becatecarin											
Belinostat							0.14 mg/mL				7.87 and 8.71 by potentiometry
Beloranib											
Belotecan											
Bendamustine											
Bevacizumab				61 °C (FAB fragment), 71 °C (whole mAb)	C6538H10034N1716O2033S44	149000.0					
Bexarotene									6.9		
Binetrakin											
Binimetinib											
Bizelesin											
Bleomycin				71 °C			Soluble				
Bleomycin A6											
Blinatumomab					C2367H3577N649O772S19	54100.0					
Bortezomib							The solubility of bortezomib, as the monomeric boronic acid, is 3.3 to 3.8 mg/mL in a pH range of 2 to 6.5.				
Bosutinib											
Brentuximab vedotin					C6476H9930N1690O2030S40	150500.0					
Brivanib alaninate											
Brostallicin											
Broxuridine											
Bryostatin 1											
Buparlisib											
Busulfan				106-107			6.9E+004 mg/L		-0.52		
Buthionine Sulfoximine											
CH-5132799											
CHS-828											
CP-609754											
CP-724714											
CPI-613											
CT-011											
CT-2584											
CUDC-101											
CYT997											
Cabazitaxel											
Cabozantinib							COMETRIQ is practically insoluble in water.				
Canertinib											
Canfosfamide											
Cantuzumab ravtansine					C6570H10130N1726O2018S44(C42H59ClN3O11S2)n						
Capecitabine				110-121 °C			26 mg/mL		0.4		
Carboplatin											
Carboxyamidotriazole											
Carfilzomib							Insoluble 				3.5
Carlumab											
Carmustine				31 °C			4000 mg/L (at 25 °C)		1.53		
Catumaxomab						150511.0					
Cediranib											
Celecoxib				158 °C			Very low water solubility (3.3 mg/L)		3.9		
Ceritinib											9.7 and 4.1
Cetuximab		-0.413	8.48	61 °C (FAB fragment), 71 °C (whole mAb)	C6484H10042N1732O2023S36	145781.6					
Cevipabulin											
Chlorambucil				65 °C			1.24E+004 mg/L		1.70		5.75
Chloroquine							10.6 mg/L		4.63		10.1
Chlorsulfaquinoxaline											
Ciclopirox				143					2.3		
Cilengitide											
Cintredekin Besudotox											
Cisplatin				270 dec °C			2530 mg/L (at 25 °C)		-2.19		
Cixutumumab											
Cladribine				215 °C					-0.1		
Clofarabine									0		
Cobimetinib											
Coltuximab ravtansine											
Conatumumab											
Copanlisib											
Corticorelin											
Cositecan											
Crizotinib									1.83 		
Curcumin											
Cyanocobalamin				> 300 °C			1.25E+004 mg/L				
Cyclopentolate				134-136					2.4		
Cyclophosphamide				48-49			Soluble. 1-5 g/100 mL at 23 °C		0.8		
Cytarabine				186-188			Freely soluble		-2.8		
Cytidine 3'-monophosphate											
DOTMP HO-166											
DTS-201											
Dabrafenib											
Dacarbazine				205 °C			4220 mg/L		-0.24		
Daclizumab		-0.437	8.46	61 °C (FAB fragment), 71 °C (whole mAb)	C6332H9808N1678O1989S42	142612.1					
Dacomitinib											
Dactinomycin				241.5-243 °C			Soluble at 10 °C		1.6		
Dactolisib											
Daniquidone											
Danusertib											
Daratumumab											
Dasatinib				280-286 °C					1.8		
Daunorubicin				208-209 °C			39.2 mg/L		1.83		
Decitabine							Sparingly soluble				
Defactinib											
Demcizumab											
Denibulin											
Denileukin diftitox		-0.301	5.45		C2560H4042N678O799S17	57647.3					
Deoxyspergualin											
Depatuxizumab mafodotin											
Dichloroacetic Acid	194 °C			13.5 °C			1E+006 mg/L (at 20 °C)		0.92		1.26
Diethylnorspermine											
Diethylstilbestrol				172			12 mg/L (at 25 °C)		5.07	-4.35	
Dinaciclib											
Docetaxel				232 °C			Insoluble 		2.4		
Dolastatin 10											
Dovitinib											
Doxifluridine											
Doxorubicin				229-231 °C			Soluble	-6.8	1.27		
Durvalumab					C6502H10018N1742O2024S42	146300.0					
E-7820											
E7107											
Edotecarin											
Efatutazone											
Eflornithine											
Elacridar											
Elacytarabine											
Elotuzumab					C6476H9982N1714O2016S42	148100.0					
Emibetuzumab											
Enasidenib											
Endostar											
Eniluracil											
Ensituximab											
Entinostat											
Enzalutamide							Insoluble 				
Enzastaurin											
Epirubicin				344.53 °C			0.093 mg/ml		-0.5		
Epofolate											
Epratuzumab											
Erdafitinib											
Eribulin											
Erlotinib							Very slightly soluble (hydrochloride salt - maximal solubility of approximately 0.4 mg/mL occurs at a pH of approximately 2)		2.7		
Estramustine				155					5.7		
Etalocib											
Etanidazole											
Etaracizumab											
Etodolac				146.5 °C			16 mg/L		2.5		4.65
